        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     100                      -7.8114366
                   100.1                       -7.912629
                   100.2                      -8.0148391
                   100.3                      -8.1180711
                   100.4                      -8.2223279
                   100.5                      -8.3276106
                   100.6                      -8.4339237
                   100.7                      -8.5412681
                   100.8                      -8.6496447
                   100.9                      -8.7590553
                     101                      -8.8695004
                   101.1                      -8.9809797
                   101.2                       -9.093493
                   101.3                       -9.207039
                   101.4                      -9.3216171
                   101.5                      -9.4372223
                   101.6                      -9.5538538
                   101.7                      -9.6715055
                   101.8                      -9.7901737
                   101.9                       -9.909851
                     102                      -10.030532
                   102.1                      -10.152208
                   102.2                      -10.274869
                   102.3                      -10.398502
                   102.4                      -10.523098
                   102.5                      -10.648642
                   102.6                      -10.775117
                   102.7                      -10.902507
                   102.8                      -11.030791
                   102.9                      -11.159948
                     103                      -11.289953
                   103.1                      -11.420781
                   103.2                      -11.552401
                   103.3                      -11.684781
                   103.4                      -11.817886
                   103.5                      -11.951678
                   103.6                      -12.086113
                   103.7                      -12.221147
                   103.8                      -12.356728
                   103.9                      -12.492804
                     104                      -12.629314
                   104.1                      -12.766195
                   104.2                      -12.903377
                   104.3                      -13.040788
                   104.4                      -13.178345
                   104.5                      -13.315964
                   104.6                      -13.453551
                   104.7                      -13.591008
                   104.8                      -13.728229
                   104.9                        -13.8651
                     105                      -14.001503
                   105.1                      -14.137308
                   105.2                       -14.27238
                   105.3                      -14.406576
                   105.4                      -14.539745
                   105.5                      -14.671727
                   105.6                      -14.802356
                   105.7                      -14.931456
                   105.8                      -15.058846
                   105.9                      -15.184337
                     106                      -15.307733
                   106.1                      -15.428833
                   106.2                      -15.547428
                   106.3                      -15.663308
                   106.4                      -15.776259
                   106.5                      -15.886061
                   106.6                      -15.992499
                   106.7                      -16.095351
                   106.8                      -16.194406
                   106.9                      -16.289449
                     107                      -16.380273
                   107.1                      -16.466679
                   107.2                      -16.548477
                   107.3                      -16.625487
                   107.4                      -16.697543
                   107.5                      -16.764493
                   107.6                      -16.826201
                   107.7                      -16.882551
                   107.8                      -16.933444
                   107.9                      -16.978804
                     108                      -17.018576
                   108.1                      -17.052725
                   108.2                      -17.081242
                   108.3                      -17.104138
                   108.4                      -17.121449
                   108.5                      -17.133233
                   108.6                      -17.139567
                   108.7                      -17.140551
                   108.8                      -17.136301
                   108.9                      -17.126955
                     109                      -17.112662
                   109.1                      -17.093588
                   109.2                      -17.069914
                   109.3                      -17.041826
                   109.4                       -17.00952
                   109.5                      -16.973202
                   109.6                      -16.933081
                   109.7                      -16.889367
                   109.8                      -16.842274
                   109.9                      -16.792015
                     110                      -16.738803
                   110.1                      -16.682845
                   110.2                       -16.62435
                   110.3                      -16.563516
                   110.4                      -16.500538
                   110.5                      -16.435607
                   110.6                      -16.368904
                   110.7                      -16.300605
                   110.8                      -16.230877
                   110.9                       -16.15988
                     111                      -16.087766
                   111.1                       -16.01468
                   111.2                      -15.940758
                   111.3                      -15.866128
                   111.4                      -15.790912
                   111.5                      -15.715222
                   111.6                      -15.639167
                   111.7                      -15.562844
                   111.8                      -15.486345
                   111.9                      -15.409759
                     112                      -15.333163
                   112.1                      -15.256633
                   112.2                      -15.180235
                   112.3                      -15.104034
                   112.4                      -15.028087
                   112.5                      -14.952449
                   112.6                      -14.877166
                   112.7                      -14.802284
                   112.8                      -14.727844
                   112.9                      -14.653883
                     113                      -14.580433
                   113.1                      -14.507527
                   113.2                      -14.435189
                   113.3                      -14.363446
                   113.4                      -14.292318
                   113.5                      -14.221826
                   113.6                      -14.151987
                   113.7                      -14.082815
                   113.8                      -14.014324
                   113.9                      -13.946525
                     114                      -13.879429
                   114.1                      -13.813042
                   114.2                      -13.747373
                   114.3                      -13.682426
                   114.4                      -13.618207
                   114.5                      -13.554718
                   114.6                      -13.491962
                   114.7                       -13.42994
                   114.8                      -13.368653
                   114.9                      -13.308099
                     115                       -13.24828
                   115.1                      -13.189192
                   115.2                      -13.130833
                   115.3                      -13.073203
                   115.4                      -13.016296
                   115.5                      -12.960109
                   115.6                      -12.904639
                   115.7                       -12.84988
                   115.8                       -12.79583
                   115.9                      -12.742481
                     116                      -12.689829
                   116.1                      -12.637869
                   116.2                      -12.586595
                   116.3                      -12.536001
                   116.4                       -12.48608
                   116.5                      -12.436829
                   116.6                      -12.388238
                   116.7                      -12.340303
                   116.8                      -12.293016
                   116.9                      -12.246372
                     117                      -12.200364
                   117.1                      -12.154983
                   117.2                      -12.110226
                   117.3                      -12.066084
