        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                     100                       179.03821
                   100.1                        178.3249
                   100.2                       177.60652
                   100.3                        176.8829
                   100.4                        176.1539
                   100.5                       175.41939
                   100.6                       174.67921
                   100.7                       173.93317
                   100.8                       173.18113
                   100.9                       172.42289
                     101                        171.6583
                   101.1                       170.88714
                   101.2                       170.10922
                   101.3                       169.32432
                   101.4                       168.53225
                   101.5                       167.73279
                   101.6                       166.92566
                   101.7                       166.11068
                   101.8                       165.28755
                   101.9                       164.45604
                     102                       163.61586
                   102.1                       162.76675
                   102.2                       161.90842
                   102.3                       161.04056
                   102.4                       160.16285
                   102.5                         159.275
                   102.6                       158.37665
                   102.7                       157.46747
                   102.8                       156.54712
                   102.9                        155.6152
                     103                       154.67138
                   103.1                       153.71524
                   103.2                       152.74642
                   103.3                       151.76445
                   103.4                       150.76898
                   103.5                       149.75953
                   103.6                       148.73571
                   103.7                       147.69705
                   103.8                       146.64309
                   103.9                       145.57338
                     104                       144.48746
                   104.1                       143.38483
                   104.2                       142.26503
                   104.3                       141.12759
                   104.4                       139.97204
                   104.5                       138.79787
                   104.6                       137.60461
                   104.7                       136.39183
                   104.8                       135.15905
                   104.9                       133.90581
                     105                        132.6317
                   105.1                       131.33632
                   105.2                       130.01929
                   105.3                       128.68022
                   105.4                       127.31884
                   105.5                       125.93484
                   105.6                       124.52799
                   105.7                       123.09812
                   105.8                        121.6451
                   105.9                       120.16886
                     106                       118.66941
                   106.1                       117.14686
                   106.2                       115.60133
                   106.3                       114.03314
                   106.4                        112.4426
                   106.5                       110.83019
                   106.6                       109.19647
                   106.7                       107.54209
                   106.8                       105.86786
                   106.9                       104.17468
                     107                       102.46356
                   107.1                       100.73565
                   107.2                       98.992179
                   107.3                       97.234525
                   107.4                       95.464154
                   107.5                       93.682622
                   107.6                       91.891603
                   107.7                       90.092811
                   107.8                        88.28807
                   107.9                       86.479231
                     108                         84.6682
                   108.1                       82.856977
                   108.2                       81.047407
                   108.3                       79.241437
                   108.4                       77.441089
                   108.5                       75.648239
                   108.6                        73.86461
                   108.7                       72.092148
                   108.8                       70.332447
                   108.9                       68.587265
                     109                       66.857956
                   109.1                       65.146106
                   109.2                       63.452991
                   109.3                        61.77977
                   109.4                       60.127671
                   109.5                       58.497548
                   109.6                       56.890304
                   109.7                       55.306684
                   109.8                       53.747298
                   109.9                       52.212753
                     110                       50.703415
                   110.1                       49.219589
                   110.2                       47.761457
                   110.3                       46.329269
                   110.4                       44.923018
                   110.5                       43.542709
                   110.6                       42.188217
                   110.7                        40.85936
                   110.8                       39.556017
                   110.9                       38.277851
                     111                       37.024607
                   111.1                       35.795931
                   111.2                       34.591447
                   111.3                       33.410749
                   111.4                        32.25342
                   111.5                       31.119008
                   111.6                        30.00705
                   111.7                       28.917076
                   111.8                       27.848599
                   111.9                       26.801134
                     112                        25.77418
                   112.1                       24.767257
                   112.2                        23.77985
                   112.3                       22.811484
                   112.4                       21.861667
                   112.5                       20.929916
                   112.6                        20.01575
                   112.7                       19.118702
                   112.8                       18.238309
                   112.9                       17.374123
                     113                       16.525695
                   113.1                       15.692595
                   113.2                       14.874392
                   113.3                        14.07068
                   113.4                       13.281052
                   113.5                       12.505114
                   113.6                       11.742483
