        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -2.1532173e-08
             0.038751584                   1.3573091e-06
             0.077503167                   1.3940148e-06
              0.11625475                   1.4320115e-06
              0.15500633                   1.4669744e-06
              0.19375792                   1.5016375e-06
              0.23250951                   1.5354874e-06
               0.2712611                    1.566044e-06
              0.31001267                   1.5969714e-06
              0.34876427                   1.6249302e-06
              0.38751584                   1.6512478e-06
              0.42626745                    1.675653e-06
              0.46501902                   1.6970985e-06
              0.50377059                   1.7163807e-06
              0.54252219                   1.7321444e-06
              0.58127373                   1.7458167e-06
              0.62002534                    1.755782e-06
              0.65877694                   1.7627087e-06
              0.69752854                   1.7658756e-06
              0.73628008                   1.7658606e-06
              0.77503169                    1.760429e-06
              0.81378329                   1.7516454e-06
              0.85253489                   1.7380092e-06
              0.89128643                   1.7203098e-06
              0.93003803                   1.6970079e-06
              0.96878958                   1.6693065e-06
               1.0075412                   1.6353981e-06
               1.0462928                   1.5956316e-06
               1.0850444                   1.5503038e-06
                1.123796                   1.4992555e-06
               1.1625475                   1.4412495e-06
               1.2012992                   1.3764936e-06
               1.2400507                   1.3049462e-06
               1.2788023                   1.2265645e-06
               1.3175539                   1.1408775e-06
               1.3563055                    1.047483e-06
               1.3950571                   9.4615615e-07
               1.4338087                    8.367569e-07
               1.4725602                   7.1962882e-07
               1.5113118                   5.9332211e-07
               1.5500634                    4.590938e-07
                1.588815                   3.1598634e-07
               1.6275666                   1.6339332e-07
               1.6663181                   1.6535864e-09
               1.7050698                  -1.6903641e-07
               1.7438213                  -3.4958387e-07
               1.7825729                     -5.3981e-07
               1.8213245                  -7.3976133e-07
               1.8600761                  -9.4956198e-07
               1.8988276                  -1.1692237e-06
               1.9375792                  -1.3989718e-06
               1.9763309                  -1.6388433e-06
               2.0150824                  -1.8890769e-06
                2.053834                  -2.1494484e-06
               2.0925856                  -2.4195288e-06
               2.1313372                  -2.7000046e-06
               2.1700888                   -2.990723e-06
               2.2088401                  -3.2910712e-06
                2.247592                    -3.60166e-06
               2.2863436                  -3.9218553e-06
               2.3250949                   -4.251548e-06
               2.3638468                   -4.590876e-06
               2.4025984                  -4.9393147e-06
               2.4413497                  -5.2968639e-06
               2.4801013                  -5.6629901e-06
               2.5188529                  -6.0371367e-06
               2.5576046                  -6.4193646e-06
               2.5963562                  -6.8094246e-06
               2.6351078                  -7.2066323e-06
               2.6738594                  -7.6101323e-06
                2.712611                  -8.0198533e-06
               2.7513626                  -8.4354433e-06
               2.7901142                  -8.8560646e-06
               2.8288655                  -9.2807995e-06
               2.8676174                  -9.7090706e-06
                2.906369                  -1.0140408e-05
               2.9451203                  -1.0573742e-05
               2.9838719                  -1.1008854e-05
               3.0226235                  -1.1443962e-05
               3.0613751                  -1.1878499e-05
               3.1001267                  -1.2312031e-05
               3.1388783                  -1.2742724e-05
               3.1776299                  -1.3169976e-05
               3.2163815                  -1.3592624e-05
               3.2551332                  -1.4009427e-05
               3.2938848                  -1.4419096e-05
               3.3326361                  -1.4820715e-05
               3.3713877                  -1.5212585e-05
               3.4101396                  -1.5593398e-05
               3.4488909                  -1.5961888e-05
               3.4876425                   -1.631642e-05
               3.5263944                  -1.6655749e-05
               3.5651457                  -1.6978032e-05
               3.6038973                   -1.728182e-05
               3.6426489                  -1.7565508e-05
               3.6814005                  -1.7827111e-05
               3.7201521                   -1.806529e-05
               3.7589037                  -1.8277971e-05
               3.7976551                  -1.8463552e-05
               3.8364067                  -1.8620227e-05
               3.8751583                  -1.8745683e-05
               3.9139102                  -1.8838688e-05
               3.9526618                  -1.8896775e-05
