        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.036329612                               0
             0.072659224                               0
              0.10898883                               0
              0.14531845                               0
              0.18164806                               0
              0.21797766                               0
              0.25430727                               0
               0.2906369                               0
              0.32696652                               0
              0.36329612                               0
              0.39962572                               0
              0.43595532                               0
              0.47228494                               0
              0.50861454                               0
              0.54494417                               0
              0.58127379                               0
              0.61760342                               0
              0.65393305                               0
              0.69026262                               0
              0.72659224                               0
              0.76292181                               0
              0.79925144                               0
              0.83558106                               0
              0.87191063                               0
              0.90824026                               0
              0.94456989                               0
              0.98089945                               0
               1.0172291                               0
               1.0535587                               0
               1.0898883                               0
               1.1262178                               0
               1.1625476                               0
               1.1988772                   4.7338611e-37
               1.2352068                   3.0315296e-35
               1.2715365                   3.4611595e-34
               1.3078661                   3.7166769e-33
               1.3441956                   3.5560623e-32
               1.3805252                   2.9989948e-31
               1.4168549                   2.2019172e-30
               1.4531845                   1.3702999e-29
               1.4895141                   6.7165621e-29
               1.5258436                   1.8941079e-28
               1.5621732                  -7.6376859e-28
               1.5985029                  -1.7759619e-26
               1.6348325                  -1.8083327e-25
               1.6711621                  -1.4164832e-24
               1.7074918                  -9.4893908e-24
               1.7438213                  -5.6618112e-23
               1.7801509                  -3.0709825e-22
               1.8164805                  -1.5329495e-21
               1.8528101                  -7.1000095e-21
               1.8891398                   -3.069276e-20
               1.9254694                  -1.2440122e-19
               1.9617989                   -4.744586e-19
               1.9981285                  -1.7078869e-18
               2.0344582                  -5.8171419e-18
               2.0707877                  -1.8788853e-17
               2.1071174                  -5.7657744e-17
               2.1434469                  -1.6838545e-16
               2.1797767                  -4.6867466e-16
               2.2161062                  -1.2448105e-15
               2.2524357                  -3.1583572e-15
               2.2887654                  -7.6616417e-15
               2.3250952                  -1.7781561e-14
               2.3614249                  -3.9499152e-14
               2.3977544                   -8.399174e-14
               2.4340839                  -1.7093325e-13
               2.4704137                  -3.3271441e-13
               2.5067432                  -6.1860743e-13
               2.5430729                  -1.0962443e-12
               2.5794024                  -1.8449719e-12
               2.6157322                  -2.9315038e-12
               2.6520617                  -4.3529876e-12
               2.6883912                  -5.9270843e-12
                2.724721                   -7.104766e-12
               2.7610505                  -6.6824202e-12
               2.7973802                  -2.3992915e-12
               2.8337097                   9.5717462e-12
               2.8700392                   3.5195791e-11
                2.906369                   8.3116507e-11
               2.9426985                    1.650183e-10
               2.9790282                   2.9561933e-10
               3.0153577                   4.9209142e-10
               3.0516872                   7.7274309e-10
                3.088017                   1.1549142e-09
               3.1243465                   1.6522093e-09
               3.1606762                   2.2714308e-09
               3.1970057                   3.0097969e-09
               3.2333355                   3.8531853e-09
                3.269665                   4.7761484e-09
               3.3059945                   5.7442229e-09
               3.3423243                   6.7186336e-09
               3.3786538                   7.6628845e-09
               3.4149835                   8.5500904e-09
                3.451313                   9.3694368e-09
               3.4876425                   1.0130002e-08
               3.5239723                   1.0860536e-08
               3.5603018                   1.1604579e-08
               3.5966315                   1.2411488e-08
                3.632961                   1.3325112e-08
               3.6692905                    1.437272e-08
               3.7056203                   1.5557069e-08
               3.7419498                   1.6853832e-08
               3.7782795                   1.8215404e-08
               3.8146091                   1.9580266e-08
               3.8509388                   2.0885656e-08
               3.8872683                   2.2080167e-08
               3.9235978                   2.3133055e-08
               3.9599276                   2.4037986e-08
               3.9962571                   2.4810721e-08
               4.0325866                   2.5482093e-08
               4.0689163                   2.6088875e-08
               4.1052461                   2.6665512e-08
               4.1415753                   2.7238794e-08
               4.1779051                    2.782615e-08
               4.2142348                   2.8436565e-08
               4.2505646                   2.9072066e-08
               4.2868938                   2.9727978e-08
               4.3232236                   3.0391067e-08
               4.3595533                   3.1036439e-08
               4.3958826                   3.1625301e-08
               4.4322124                   3.2106239e-08
               4.4685421                   3.2421415e-08
               4.5048714                   3.2517217e-08
               4.5412011                   3.2356478e-08
               4.5775309                   3.1928046e-08
               4.6138606                   3.1249577e-08
               4.6501904                   3.0361516e-08
               4.6865201                   2.9313496e-08
               4.7228498                   2.8147527e-08
               4.7591791                   2.6884072e-08
               4.7955089                   2.5516542e-08
               4.8318386                   2.4016767e-08
               4.8681679                   2.2349665e-08
               4.9044976                   2.0491484e-08
               4.9408274                   1.8444178e-08
               4.9771571                   1.6239449e-08
               5.0134864                   1.3929995e-08
