        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     100                      -14.569883
                   100.1                      -14.347848
                   100.2                       -14.13081
                   100.3                      -13.919869
                   100.4                      -13.715811
                   100.5                      -13.519171
                   100.6                       -13.33029
                   100.7                      -13.149356
                   100.8                      -12.976437
                   100.9                      -12.811517
                     101                      -12.654513
                   101.1                      -12.505292
                   101.2                      -12.363688
                   101.3                      -12.229513
                   101.4                      -12.102561
                   101.5                      -11.982623
                   101.6                       -11.86948
                   101.7                      -11.762916
                   101.8                      -11.662719
                   101.9                      -11.568677
                     102                      -11.480589
                   102.1                      -11.398257
                   102.2                      -11.321491
                   102.3                      -11.250109
                   102.4                      -11.183937
                   102.5                      -11.122805
                   102.6                      -11.066551
                   102.7                      -11.015025
                   102.8                      -10.968075
                   102.9                       -10.92556
                     103                      -10.887345
                   103.1                      -10.853297
                   103.2                      -10.823291
                   103.3                      -10.797202
                   103.4                      -10.774915
                   103.5                      -10.756315
                   103.6                      -10.741291
                   103.7                      -10.729738
                   103.8                      -10.721549
                   103.9                      -10.716625
                     104                      -10.714866
                   104.1                      -10.716179
                   104.2                      -10.720467
                   104.3                      -10.727641
                   104.4                      -10.737612
                   104.5                      -10.750292
                   104.6                      -10.765596
                   104.7                      -10.783442
                   104.8                      -10.803746
                   104.9                      -10.826429
                     105                      -10.851413
                   105.1                      -10.878616
                   105.2                      -10.907964
                   105.3                      -10.939378
                   105.4                      -10.972783
                   105.5                      -11.008102
                   105.6                      -11.045259
                   105.7                      -11.084177
                   105.8                      -11.124778
                   105.9                      -11.166984
                     106                      -11.210715
                   106.1                      -11.255889
                   106.2                      -11.302423
                   106.3                       -11.35023
                   106.4                      -11.399222
                   106.5                      -11.449309
                   106.6                      -11.500394
                   106.7                       -11.55238
                   106.8                      -11.605166
                   106.9                      -11.658646
                     107                       -11.71271
                   107.1                      -11.767242
                   107.2                      -11.822124
                   107.3                      -11.877235
                   107.4                      -11.932445
                   107.5                      -11.987621
                   107.6                      -12.042627
                   107.7                       -12.09732
                   107.8                      -12.151555
                   107.9                       -12.20518
                     108                      -12.258043
                   108.1                      -12.309985
                   108.2                      -12.360846
                   108.3                       -12.41046
                   108.4                      -12.458665
                   108.5                      -12.505291
                   108.6                      -12.550173
                   108.7                       -12.59314
                   108.8                      -12.634027
                   108.9                      -12.672668
                     109                        -12.7089
                   109.1                      -12.742564
                   109.2                      -12.773505
                   109.3                      -12.801573
                   109.4                      -12.826625
                   109.5                      -12.848526
                   109.6                       -12.86715
                   109.7                      -12.882379
                   109.8                      -12.894106
                   109.9                      -12.902235
                     110                      -12.906682
                   110.1                      -12.907377
                   110.2                      -12.904261
                   110.3                      -12.897289
                   110.4                      -12.886431
                   110.5                       -12.87167
                   110.6                      -12.853005
                   110.7                      -12.830445
                   110.8                      -12.804016
                   110.9                      -12.773754
                     111                      -12.739714
                   111.1                      -12.701957
                   111.2                      -12.660558
                   111.3                      -12.615601
                   111.4                      -12.567181
                   111.5                      -12.515403
                   111.6                      -12.460377
                   111.7                      -12.402223
                   111.8                      -12.341063
                   111.9                      -12.277028
                     112                       -12.21025
                   112.1                      -12.140866
                   112.2                      -12.069013
                   112.3                       -11.99483
                   112.4                       -11.91846
                   112.5                      -11.840038
                   112.6                      -11.759706
                   112.7                      -11.677599
                   112.8                      -11.593853
                   112.9                      -11.508601
                     113                      -11.421973
                   113.1                      -11.334095
                   113.2                      -11.245088
                   113.3                      -11.155073
                   113.4                      -11.064166
                   113.5                      -10.972477
