        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                     100                       179.48648
                   100.1                       178.78188
                   100.2                       178.07227
                   100.3                       177.35751
                   100.4                       176.63746
                   100.5                       175.91197
                   100.6                       175.18088
                   100.7                       174.44402
                   100.8                        173.7012
                   100.9                       172.95227
                     101                       172.19702
                   101.1                       171.43528
                   101.2                        170.6668
                   101.3                       169.89139
                   101.4                       169.10883
                   101.5                       168.31887
                   101.6                       167.52128
                   101.7                       166.71578
                   101.8                       165.90213
                   101.9                       165.08004
                     102                       164.24925
                   102.1                       163.40944
                   102.2                       162.56029
                   102.3                        161.7015
                   102.4                       160.83273
                   102.5                       159.95363
                   102.6                       159.06386
                   102.7                       158.16303
                   102.8                       157.25076
                   102.9                       156.32668
                     103                       155.39034
                   103.1                       154.44134
                   103.2                       153.47927
                   103.3                       152.50364
                   103.4                       151.51403
                   103.5                       150.50995
                   103.6                        149.4909
                   103.7                       148.45642
                   103.8                       147.40596
                   103.9                       146.33906
                     104                       145.25511
                   104.1                       144.15366
                   104.2                       143.03411
                   104.3                       141.89591
                   104.4                       140.73852
                   104.5                        139.5614
                   104.6                       138.36397
                   104.7                       137.14568
                   104.8                       135.90597
                   104.9                       134.64431
                     105                       133.36018
                   105.1                       132.05306
                   105.2                       130.72247
                   105.3                       129.36795
                   105.4                       127.98906
                   105.5                       126.58544
                   105.6                       125.15673
                   105.7                       123.70265
                   105.8                       122.22297
                   105.9                       120.71754
                     106                       119.18629
                   106.1                       117.62923
                   106.2                       116.04646
                   106.3                       114.43818
                   106.4                       112.80472
                   106.5                        111.1465
                   106.6                       109.46409
                   106.7                       107.75819
                   106.8                       106.02962
                   106.9                       104.27937
                     107                       102.50854
                   107.1                       100.71841
                   107.2                       98.910347
                   107.3                       97.085907
                   107.4                       95.246763
                   107.5                       93.394709
                   107.6                       91.531645
                   107.7                         89.6596
                   107.8                       87.780656
                   107.9                       85.896985
                     108                       84.010821
                   108.1                       82.124344
                   108.2                       80.239942
                   108.3                       78.359817
                   108.4                        76.48622
                   108.5                       74.621292
                   108.6                        72.76723
                   108.7                       70.926107
                   108.8                       69.099746
                   108.9                       67.290177
                     109                       65.498918
                   109.1                       63.727735
                   109.2                       61.978044
                   109.3                       60.251176
                   109.4                       58.548233
                   109.5                       56.870316
                   109.6                       55.218281
                   109.7                       53.592911
                   109.8                       51.994767
                   109.9                       50.424452
                     110                       48.882218
                   110.1                        47.36836
                   110.2                       45.883013
                   110.3                       44.426223
                   110.4                        42.99794
                   110.5                       41.598036
                   110.6                       40.226337
                   110.7                       38.882583
                   110.8                       37.566351
                   110.9                       36.277363
                     111                       35.015166
                   111.1                       33.779316
                   111.2                       32.569316
                   111.3                       31.384658
                   111.4                        30.22481
                   111.5                       29.089228
