        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.043767747                               0
             0.087535493                               0
              0.13130325                               0
              0.17507099                               0
              0.21883874                               0
               0.2626065                               0
              0.30637422                               0
              0.35014197                               0
              0.39390975                               0
              0.43767747                               0
              0.48144522                               0
                0.525213                               0
              0.56898069                               0
              0.61274844                               0
              0.65651625                               0
              0.70028394                               0
              0.74405169                               0
               0.7878195                               0
               0.8315872                               0
              0.87535495                               0
               0.9191227                               0
              0.96289045                               0
               1.0066582                               0
                1.050426                               0
               1.0941937                               0
               1.1379614                               0
               1.1817292                               0
               1.2254969                               0
               1.2692647                               0
               1.3130325                               0
               1.3568001                               0
               1.4005679                               0
               1.4443357                               0
               1.4881034                               0
               1.5318712                               0
                1.575639                               0
               1.6194066                               0
               1.6631744                               0
               1.7069422                               0
               1.7507099                               0
               1.7944777                               0
               1.8382454                               0
               1.8820132                               0
               1.9257809                               0
               1.9695486                               0
               2.0133164                               0
               2.0570841                               0
                2.100852                               0
               2.1446197                               0
               2.1883874                               0
               2.2321551                               0
               2.2759228                               0
               2.3196907                               0
               2.3634584                               0
               2.4072261                               0
               2.4509938                               0
               2.4947615                               0
               2.5385294                               0
               2.5822971                               0
                2.626065                               0
               2.6698325                               0
               2.7136002                               0
               2.7573681                               0
               2.8011358                   9.3003865e-38
               2.8449037                   1.5485036e-35
               2.8886714                   1.1369154e-34
               2.9324389                   5.9976886e-34
               2.9762068                   2.8651665e-33
               3.0199745                   1.2989717e-32
               3.0637424                   5.6856176e-32
               3.1075101                   2.4127334e-31
                3.151278                     9.94101e-31
               3.1950455                   3.9802788e-30
               3.2388132                   1.5497915e-29
               3.2825811                   5.8721273e-29
               3.3263488                   2.1664584e-28
               3.3701167                   7.7874443e-28
               3.4138844                   2.7288209e-27
               3.4576519                   9.3266424e-27
               3.5014198                   3.1107858e-26
               3.5451875                   1.0130328e-25
               3.5889554                   3.2224773e-25
               3.6327231                   1.0017604e-24
               3.6764908                   3.0446041e-24
               3.7202585                   9.0503874e-24
               3.7640264                   2.6323305e-23
               3.8077941                   7.4939281e-23
               3.8515618                   2.0889366e-22
               3.8953295                   5.7033528e-22
               3.9390972                   1.5256664e-21
               3.9828651                   3.9998226e-21
               4.0266328                   1.0280028e-20
               4.0704002                   2.5908011e-20
               4.1141682                   6.4042378e-20
               4.1579356                   1.5530872e-19
                4.201704                   3.6958546e-19
               4.2454715                   8.6320717e-19
               4.2892394                   1.9791644e-18
               4.3330069                   4.4554992e-18
               4.3767748                   9.8499766e-18
               4.4205427                   2.1388052e-17
               4.4643102                   4.5621932e-17
               4.5080781                    9.561114e-17
               4.5518456                   1.9689678e-16
               4.5956135                   3.9849607e-16
               4.6393814                   7.9272432e-16
               4.6831489                   1.5502007e-15
               4.7269168                   2.9803951e-15
               4.7706842                   5.6341714e-15
               4.8144522                   1.0473809e-14
               4.8582201                   1.9148874e-14
               4.9019876                   3.4434149e-14
               4.9457555                   6.0909387e-14
               4.9895229                    1.059904e-13
               5.0332913                   1.8145658e-13
               5.0770588                   3.0565838e-13
               5.1208262                   5.0662691e-13
               5.1645942                   8.2633574e-13
               5.2083616                   1.3263731e-12
                 5.25213                   2.0952563e-12
               5.2958975                   3.2575301e-12
               5.3396649                   4.9846321e-12
               5.3834329                   7.5072422e-12
               5.4272003                   1.1128462e-11
               5.4709687                   1.6236667e-11
               5.5147362                   2.3316314e-11
               5.5585041                   3.2954355e-11
               5.6022716                   4.5839291e-11
                5.646039                   6.2749576e-11
               5.6898074                   8.4527919e-11
               5.7335749                   1.1203844e-10
               5.7773428                   1.4610478e-10
               5.8211102                   1.8742914e-10
               5.8648777                   2.3649449e-10
               5.9086461                    2.934562e-10
               5.9524136                   3.5803233e-10
               5.9961815                   4.2940593e-10
               6.0399489                    5.061544e-10
               6.0837169                   5.8622496e-10
               6.1274848                   6.6697031e-10
               6.1712523                   7.4525813e-10
               6.2150202                   8.1765994e-10
               6.2587876                   8.8071389e-10
                6.302556                   9.3124636e-10
               6.3463235                   9.6672115e-10
               6.3900909                   9.8557829e-10
               6.4338589                    9.875134e-10
               6.4776263                   9.7364761e-10
               6.5213947                    9.465464e-10
               6.5651622                   9.1005747e-10
               6.6089296                   8.6896051e-10
               6.6526976                   8.2845358e-10
                6.696465                   7.9352575e-10
