        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     100                      -14.799991
                   100.1                       -14.57644
                   100.2                      -14.357301
                   100.3                      -14.143835
                   100.4                      -13.936953
                   100.5                      -13.737294
                   100.6                      -13.545277
                   100.7                      -13.361153
                   100.8                       -13.18504
                   100.9                      -13.016957
                     101                       -12.85685
                   101.1                      -12.704606
                   101.2                      -12.560077
                   101.3                      -12.423083
                   101.4                      -12.293429
                   101.5                      -12.170908
                   101.6                      -12.055304
                   101.7                      -11.946405
                   101.8                      -11.843994
                   101.9                      -11.747861
                     102                      -11.657801
                   102.1                      -11.573613
                   102.2                      -11.495106
                   102.3                       -11.42209
                   102.4                      -11.354388
                   102.5                      -11.291826
                   102.6                       -11.23424
                   102.7                       -11.18147
                   102.8                      -11.133362
                   102.9                      -11.089771
                     103                      -11.050556
                   103.1                      -11.015579
                   103.2                      -10.984711
                   103.3                      -10.957824
                   103.4                      -10.934795
                   103.5                      -10.915509
                   103.6                       -10.89985
                   103.7                      -10.887707
                   103.8                      -10.878973
                   103.9                      -10.873544
                     104                      -10.871319
                   104.1                      -10.872199
                   104.2                      -10.876088
                   104.3                      -10.882893
                   104.4                      -10.892522
                   104.5                      -10.904888
                   104.6                      -10.919902
                   104.7                      -10.937479
                   104.8                      -10.957537
                   104.9                      -10.979992
                     105                      -11.004764
                   105.1                      -11.031772
                   105.2                      -11.060937
                   105.3                       -11.09218
                   105.4                      -11.125424
                   105.5                      -11.160588
                   105.6                      -11.197594
                   105.7                      -11.236363
                   105.8                      -11.276814
                   105.9                      -11.318863
                     106                      -11.362429
                   106.1                      -11.407424
                   106.2                      -11.453763
                   106.3                      -11.501353
                   106.4                      -11.550103
                   106.5                      -11.599914
                   106.6                      -11.650688
                   106.7                       -11.70232
                   106.8                      -11.754704
                   106.9                      -11.807726
                     107                      -11.861272
                   107.1                      -11.915221
                   107.2                      -11.969446
                   107.3                       -12.02382
                   107.4                      -12.078206
                   107.5                      -12.132468
                   107.6                      -12.186459
                   107.7                      -12.240034
                   107.8                       -12.29304
                   107.9                      -12.345322
                     108                       -12.39672
                   108.1                       -12.44707
                   108.2                      -12.496209
                   108.3                      -12.543968
                   108.4                       -12.59018
                   108.5                      -12.634674
                   108.6                      -12.677279
                   108.7                      -12.717828
                   108.8                      -12.756154
                   108.9                       -12.79209
                     109                      -12.825475
                   109.1                      -12.856151
                   109.2                      -12.883969
                   109.3                      -12.908781
                   109.4                      -12.930451
                   109.5                      -12.948848
                   109.6                      -12.963854
                   109.7                      -12.975359
                   109.8                      -12.983264
                   109.9                      -12.987483
                     110                      -12.987944
                   110.1                      -12.984584
                   110.2                      -12.977358
                   110.3                      -12.966234
                   110.4                      -12.951192
                   110.5                      -12.932229
                   110.6                      -12.909355
                   110.7                      -12.882591
                   110.8                      -12.851976
                   110.9                      -12.817561
                     111                      -12.779407
                   111.1                      -12.737587
                   111.2                      -12.692189
                   111.3                      -12.643305
                   111.4                      -12.591041
                   111.5                      -12.535508
                   111.6                      -12.476824
                   111.7                      -12.415115
                   111.8                      -12.350511
                   111.9                      -12.283146
                     112                      -12.213158
                   112.1                      -12.140684
                   112.2                      -12.065867
                   112.3                      -11.988845
                   112.4                      -11.909765
                   112.5                       -11.82876
                   112.6                      -11.745974
                   112.7                      -11.661542
                   112.8                      -11.575597
                   112.9                       -11.48827
                     113                      -11.399691
                   113.1                      -11.309982
                   113.2                      -11.219263
                   113.3                      -11.127651
                   113.4                       -11.03526
                   113.5                      -10.942195
                   113.6                       -10.84856
                   113.7                      -10.754454
                   113.8                      -10.659972
                   113.9                      -10.565204
                     114                      -10.470234
                   114.1                      -10.375145
                   114.2                      -10.280013
                   114.3                      -10.184912
                   114.4                       -10.08991
                   114.5                      -9.9950718
                   114.6                      -9.9004581
                   114.7                      -9.8061269
                   114.8                       -9.712132
                   114.9                      -9.6185232
                     115                      -9.5253475
                   115.1                      -9.4326498
                   115.2                      -9.3404694
                   115.3                      -9.2488459
                   115.4                      -9.1578138
                   115.5                      -9.0674054
                   115.6                      -8.9776531
                   115.7                      -8.8885832
                   115.8                      -8.8002226
