        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                     100                      -134.03238
                   100.1                      -133.26609
                   100.2                      -132.65526
                   100.3                      -132.18569
                   100.4                       -131.8442
                   100.5                      -131.61861
                   100.6                      -131.49787
                   100.7                      -131.47195
                   100.8                      -131.53188
                   100.9                      -131.66958
                     101                      -131.87783
                   101.1                      -132.15024
                   101.2                      -132.48104
                   101.3                       -132.8652
                   101.4                      -133.29814
                   101.5                      -133.77584
                   101.6                      -134.29469
                   101.7                      -134.85149
                   101.8                      -135.44338
                   101.9                       -136.0678
                     102                      -136.72245
                   102.1                      -137.40534
                   102.2                      -138.11458
                   102.3                      -138.84854
                   102.4                      -139.60578
                   102.5                      -140.38495
                   102.6                      -141.18486
                   102.7                      -142.00446
                   102.8                      -142.84277
                   102.9                      -143.69896
                     103                      -144.57224
                   103.1                      -145.46193
                   103.2                      -146.36743
                   103.3                      -147.28821
                   103.4                      -148.22377
                   103.5                      -149.17371
                   103.6                      -150.13764
                   103.7                      -151.11532
                   103.8                      -152.10643
                   103.9                       -153.1108
                     104                      -154.12822
                   104.1                       -155.1586
                   104.2                      -156.20182
                   104.3                      -157.25786
                   104.4                      -158.32669
                   104.5                      -159.40831
                   104.6                      -160.50276
                   104.7                      -161.61012
                   104.8                      -162.73049
                   104.9                      -163.86395
                     105                       -165.0107
                   105.1                      -166.17084
                   105.2                      -167.34457
                   105.3                      -168.53208
                   105.4                      -169.73356
                   105.5                      -170.94927
                   105.6                      -172.17937
                   105.7                      -173.42413
                   105.8                      -174.68379
                   105.9                       -175.9586
                     106                      -177.24879
                   106.1                      -178.55464
                   106.2                      -179.87637
                   106.3                       178.78575
                   106.4                       177.43149
                   106.5                        176.0606
                   106.6                       174.67284
                   106.7                       173.26797
                   106.8                       171.84578
                   106.9                       170.40607
                     107                       168.94865
                   107.1                       167.47334
                   107.2                       165.97996
                   107.3                        164.4684
                   107.4                       162.93852
                   107.5                       161.39023
                   107.6                       159.82349
                   107.7                       158.23826
                   107.8                       156.63452
                   107.9                       155.01233
                     108                       153.37183
                   108.1                       151.71305
                   108.2                       150.03622
                   108.3                       148.34159
                   108.4                       146.62942
                   108.5                       144.90006
                   108.6                        143.1539
                   108.7                       141.39139
                   108.8                       139.61312
                   108.9                       137.81966
                     109                       136.01172
                   109.1                       134.18997
                   109.2                       132.35525
                   109.3                       130.50846
                   109.4                       128.65048
                   109.5                       126.78231
                   109.6                       124.90512
                   109.7                       123.01993
                   109.8                       121.12792
                   109.9                       119.23035
                     110                       117.32843
                   110.1                       115.42349
                   110.2                       113.51682
                   110.3                       111.60974
                   110.4                       109.70362
                   110.5                       107.79974
                   110.6                       105.89947
                   110.7                       104.00415
                   110.8                       102.11499
                   110.9                       100.23331
                     111                       98.360291
                   111.1                       96.497131
                   111.2                       94.644927
                   111.3                       92.804717
                   111.4                       90.977539
                   111.5                       89.164274
                   111.6                       87.365817
                   111.7                       85.582947
                   111.8                       83.816373
                   111.9                       82.066745
                     112                       80.334622
                   112.1                       78.620511
                   112.2                       76.924807
                   112.3                       75.247893
                   112.4                       73.590028
                   112.5                       71.951481
                   112.6                       70.332337
                   112.7                       68.732787
                   112.8                       67.152801
                   112.9                       65.592439
                     113                       64.051608
                   113.1                        62.53024
                   113.2                       61.028191
                   113.3                       59.545307
                   113.4                       58.081384
                   113.5                       56.636187
                   113.6                       55.209477
                   113.7                       53.800969
                   113.8                       52.410376
                   113.9                       51.037376
                     114                       49.681658
                   114.1                       48.342883
                   114.2                       47.020703
                   114.3                       45.714771
                   114.4                       44.424726
                   114.5                       43.150213
                   114.6                       41.890863
                   114.7                       40.646316
                   114.8                       39.416203
                   114.9                       38.200173
                     115                       36.997858
                   115.1                       35.808895
                   115.2                       34.632939
                   115.3                        33.46963
                   115.4                       32.318638
                   115.5                         31.1796
                   115.6                       30.052192
                   115.7                        28.93608
                   115.8                       27.830941
                   115.9                        26.73645
                     116                       25.652299
                   116.1                       24.578171
                   116.2                       23.513775
                   116.3                       22.458804
                   116.4                       21.412975
                   116.5                       20.376001
                   116.6                       19.347604
                   116.7                       18.327521
                   116.8                       17.315477
                   116.9                       16.311216
                     117                       15.314487
                   117.1                        14.32505
                   117.2                        13.34266
                   117.3                       12.367084
                   117.4                       11.398102
                   117.5                       10.435489
                   117.6                       9.4790364
                   117.7                       8.5285346
                   117.8                       7.5837853
                   117.9                       6.6445938
                     118                       5.7107744
                   118.1                       4.7821442
                   118.2                       3.8585287
                   118.3                       2.9397592
                   118.4                       2.0256711
                   118.5                       1.1161084
                   118.6                      0.21091819
                   118.7                     -0.69004554
                   118.8                      -1.5869239
                   118.9                      -2.4798533
                     119                      -3.3689639
                   119.1                       -4.254383
                   119.2                      -5.1362316
                   119.3                      -6.0146274
                   119.4                       -6.889682
                   119.5                      -7.7615042
                   119.6                      -8.6301991
                   119.7                      -9.4958694
                   119.8                      -10.358611
                   119.9                      -11.218516
                     120                      -12.075678
                   120.1                      -12.930181
                   120.2                      -13.782112
                   120.3                      -14.631549
                   120.4                      -15.478575
                   120.5                      -16.323262
                   120.6                      -17.165687
                   120.7                      -18.005916
                   120.8                      -18.844021
                   120.9                      -19.680068
                     121                       -20.51412
                   121.1                      -21.346237
                   121.2                      -22.176488
                   121.3                      -23.004921
                   121.4                      -23.831596
                   121.5                      -24.656574
                   121.6                      -25.479899
                   121.7                      -26.301629
                   121.8                      -27.121817
                   121.9                      -27.940505
                     122                      -28.757746
                   122.1                      -29.573592
                   122.2                      -30.388085
                   122.3                      -31.201271
                   122.4                      -32.013197
                   122.5                        -32.8239
                   122.6                      -33.633432
                   122.7                      -34.441836
                   122.8                      -35.249158
                   122.9                      -36.055432
                     123                      -36.860704
                   123.1                      -37.665013
                   123.2                      -38.468407
                   123.3                      -39.270923
                   123.4                      -40.072604
                   123.5                       -40.87349
                   123.6                       -41.67362
                   123.7                      -42.473042
                   123.8                      -43.271788
                   123.9                      -44.069895
                     124                      -44.867403
                   124.1                       -45.66436
                   124.2                      -46.460798
                   124.3                      -47.256747
                   124.4                       -48.05225
                   124.5                      -48.847344
                   124.6                      -49.642061
                   124.7                      -50.436434
                   124.8                      -51.230485
