        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.4083298e-08
             0.063112192                   1.4490372e-06
              0.12622438                   1.5852734e-06
              0.18933657                   1.7283386e-06
              0.25244877                   1.8767041e-06
              0.31556097                   2.0293251e-06
              0.37867314                   2.1855149e-06
              0.44178534                   2.3434161e-06
              0.50489753                   2.5014183e-06
              0.56800973                   2.6566045e-06
              0.63112193                    2.807391e-06
              0.69423413                   2.9503826e-06
              0.75734627                   3.0825083e-06
              0.82045847                   3.1990469e-06
              0.88357067                   3.2962325e-06
              0.94668287                   3.3685981e-06
               1.0097951                   3.4106506e-06
               1.0729072                    3.415578e-06
               1.1360195                   3.3765277e-06
               1.1991317                   3.2856749e-06
               1.2622439                   3.1341283e-06
                1.325356                    2.912044e-06
               1.3884683                   2.6092898e-06
               1.4515804                   2.2143026e-06
               1.5146925                   1.7146966e-06
               1.5778048                   1.0972068e-06
               1.6409169                   3.4759995e-07
               1.7040291                  -5.4913528e-07
               1.7671413                  -1.6094086e-06
               1.8302535                  -2.8501063e-06
               1.8933657                  -4.2894567e-06
               1.9564779                  -5.9459044e-06
               2.0195901                  -7.8390303e-06
               2.0827022                  -9.9886402e-06
               2.1458144                  -1.2415561e-05
               2.2089267                  -1.5140504e-05
               2.2720389                  -1.8184624e-05
               2.3351512                  -2.1568794e-05
               2.3982635                   -2.531366e-05
               2.4613755                   -2.943925e-05
               2.5244877                  -3.3964592e-05
                  2.5876                  -3.8907376e-05
                2.650712                  -4.4283985e-05
               2.7138243                  -5.0108159e-05
               2.7769365                  -5.6391251e-05
               2.8400486                  -6.3141284e-05
               2.9031608                  -7.0362519e-05
               2.9662731                  -7.8054916e-05
               3.0293851                  -8.6212836e-05
               3.0924973                  -9.4825555e-05
               3.1556096                   -0.0001038748
               3.2187216                  -0.00011333531
               3.2818339                  -0.00012317329
               3.3449461                  -0.00013334537
               3.4080582                  -0.00014379836
               3.4711704                  -0.00015446718
               3.5342827                  -0.00016527483
               3.5973949                  -0.00017613072
                3.660507                  -0.00018692954
               3.7236192                  -0.00019755078
               3.7867315                   -0.0002078572
               3.8498435                  -0.00021769373
               3.9129558                   -0.0002268869
                3.976068                  -0.00023524348
               4.0391803                  -0.00024254968
               4.1022921                  -0.00024857026
               4.1654043                  -0.00025304771
               4.2285166                  -0.00025570247
               4.2916288                    -0.000256231
               4.3547411                  -0.00025430677
               4.4178534                  -0.00024957952
               4.4809656                  -0.00024167588
               4.5440779                  -0.00023019897
               4.6071901                  -0.00021472968
               4.6703024                  -0.00019482723
               4.7334146                  -0.00017003069
               4.7965269                  -0.00013986068
               4.8596387                  -0.00010382094
               4.9227509                  -6.1401202e-05
               4.9858632                  -1.2079866e-05
               5.0489755                   4.4672695e-05
               5.1120877                   0.00010938994
                  5.1752                   0.00018260522
               5.2383122                   0.00026484666
                5.301424                   0.00035663138
               5.3645363                   0.00045845978
               5.4276485                   0.00057080889
               5.4907608                   0.00069412484
               5.5538731                   0.00082881498
               5.6169853                   0.00097523956
               5.6800971                    0.0011337027
               5.7432094                    0.0013044423
               5.8063216                    0.0014876203
               5.8694339                    0.0016833119
               5.9325461                    0.0018914939
               5.9956584                    0.0021120333
               6.0587702                    0.0023446761
               6.1218824                     0.002589033
               6.1849947                    0.0028445688
                6.248107                    0.0031105888
               6.3112192                    0.0033862258
               6.3743315                    0.0036704279
               6.4374433                    0.0039619459
               6.5005555                    0.0042593218
               6.5636678                    0.0045608748
                 6.62678                    0.0048646936
               6.6898923                    0.0051686228
               6.7530046                    0.0054702568
               6.8161163                    0.0057669282
               6.8792286                    0.0060557048
               6.9423409                      0.00633338
               7.0054531                     0.006596474
               7.0685654                    0.0068412269
               7.1316776                    0.0070636049
               7.1947899                     0.007259299
               7.2579017                    0.0074237315
               7.3210139                    0.0075520659
               7.3841262                    0.0076392163
               7.4472384                    0.0076798634
               7.5103507                     0.007668471
                7.573463                    0.0075993086
               7.6365747                     0.007466475
                7.699687                      0.00726393
               7.7627993                    0.0069855242
               7.8259115                    0.0066250381
               7.8890238                    0.0061762221
                7.952136                    0.0056328424
               8.0152483                    0.0049887304
               8.0783606                    0.0042378358
               8.1414728                    0.0033742837
               8.2045841                    0.0023924375
               8.2676964                    0.0012869628
               8.3308086                   5.2896841e-05
               8.3939209                   -0.0013142799
               8.4570332                   -0.0028185681
               8.5201454                   -0.0044633732
               8.5832577                   -0.0062514241
               8.6463699                   -0.0081846919
               8.7094822                     -0.01026431
               8.7725945                    -0.012490484
               8.8357067                    -0.014862417
                8.898819                     -0.01737822
               8.9619312                    -0.020034837
               9.0250425                    -0.022827955
               9.0881557                    -0.025751943
                9.151268                    -0.028799767
               9.2143803                    -0.031962931
               9.2774925                    -0.035231408
               9.3406048                     -0.03859359
                9.403717                    -0.042036243
               9.4668293                     -0.04554446
               9.5299416                    -0.049101636
               9.5930538                    -0.052689448
               9.6561661                    -0.056287844
