Frequencies (Hz),S11
10000000,0.990754219298437 - 0.143238218229334i
11450000,0.982922733032785 - 0.168451430748614i
12900000,0.982009938007115 - 0.194641741131782i
14350000,0.972871285566827 - 0.213227497777562i
15800000,0.973672960875434 - 0.236770294672853i
17250000,0.965634037256800 - 0.254352181984337i
18700000,0.960923872817256 - 0.270201334976418i
20150000,0.964659477215797 - 0.294924324707483i
21600000,0.940674030701804 - 0.316929801890027i
23050000,0.939554266477399 - 0.349560728571033i
24500000,0.927755783290343 - 0.361375090731653i
25950000,0.916985968606337 - 0.398603849055020i
27400000,0.918589670155066 - 0.394841013821946i
28850000,0.901781910308889 - 0.423828585495109i
30300000,0.906400808438599 - 0.446587922501058i
31750000,0.871201413992450 - 0.463949367575961i
33200000,0.873063009442566 - 0.493960671360878i
34650000,0.854866097721924 - 0.507200354330369i
36100000,0.839439393191918 - 0.544951282206403i
37550000,0.840321997177958 - 0.535275690459032i
39000000,0.816285641387232 - 0.573386209613273i
40450000,0.821166385461526 - 0.592892618888052i
41900000,0.771250819495162 - 0.609999887247238i
43350000,0.773577346320828 - 0.638627629741814i
44800000,0.743788463889561 - 0.652083490116514i
46250000,0.729344719224006 - 0.688532029317521i
47700000,0.718382878140657 - 0.688292799816375i
49150000,0.688819694006546 - 0.721965228072108i
50600000,0.701438477558813 - 0.734121114095303i
52050000,0.646974346049220 - 0.742919722450714i
53500000,0.632774287644849 - 0.785946132480245i
54950000,0.601377688262694 - 0.776168051477940i
56400000,0.554748511289904 - 0.828941241038230i
57850000,0.554332541652703 - 0.820273032437466i
59300000,0.506097876213847 - 0.856211132278231i
60750000,0.506614708789948 - 0.877748026799393i
62200000,0.445848560759324 - 0.882008160994392i
63650000,0.423764725040927 - 0.924406997200906i
65100000,0.377662141545149 - 0.900366313941820i
66550000,0.313667272658226 - 0.946868073601202i
68000000,0.299164522424440 - 0.931270591372070i
69450000,0.229665533293790 - 0.948349311732039i
70900000,0.214797401439474 - 0.972554568114784i
72350000,0.145284491521505 - 0.952877111245156i
73800000,0.107282591775844 - 0.978505898091795i
75250000,0.0652465505667703 - 0.950438480557610i
76700000,-0.0243922758212242 - 0.968708792080393i
78150000,-0.0445325826992755 - 0.953570179548020i
79600000,-0.137621179415828 - 0.940941017382760i
81050000,-0.183998387988496 - 0.952568521155371i
82500000,-0.266172569030662 - 0.901110581038911i
83950000,-0.355510154934505 - 0.896773967787339i
85400000,-0.429170681966596 - 0.818125958837926i
86850000,-0.541149639748866 - 0.748949465713304i
88300000,-0.592516273459006 - 0.662705949313601i
89750000,-0.675191945097776 - 0.519317687453831i
91200000,-0.715439824861821 - 0.388229062200497i
92650000,-0.698280616635397 - 0.186445116811547i
94100000,-0.612520608210142 - 0.0296846769237675i
95550000,-0.449233109870893 + 0.0684126980082394i
97000000,-0.306755712522720 + 0.0735842241410061i
98450000,-0.230182044546586 + 0.0125787029199516i
99900000,-0.229160158597631 - 0.0166594546740188i
101350000,-0.211171222139865 + 6.81329877738612e-06i
102800000,-0.222795224588069 + 0.00622449179871575i
104250000,-0.233913181671142 + 0.0589028962176133i
105700000,-0.209424496692689 + 0.127091406406171i
107150000,-0.153936638404568 + 0.191620605280011i
108600000,-0.0746182198999684 + 0.245635839804115i
110050000,0.0208681737041599 + 0.270113384620477i
111500000,0.122581567872706 + 0.267749570354410i
112950000,0.218868492880051 + 0.240835315467899i
114400000,0.301329471678206 + 0.194440586213029i
115850000,0.370107091562989 + 0.127425218291346i
117300000,0.420233013677174 + 0.0528004554414235i
118750000,0.450518018883952 - 0.0391625425707096i
120200000,0.456401760939558 - 0.129207410134446i
121650000,0.432920444022880 - 0.222633624626532i
123100000,0.386065649343813 - 0.305062357168887i
124550000,0.316759424224849 - 0.362926723563667i
126000000,0.232023580789911 - 0.397621455066911i
127450000,0.145219961867253 - 0.396256930689463i
128900000,0.0670710397461871 - 0.364365574088284i
130350000,0.0127266795815079 - 0.309034980103676i
131800000,-0.0149072923232447 - 0.236087275162793i
133250000,-0.00778556366930255 - 0.170114418818619i
134700000,0.0224213682914462 - 0.114249209898362i
136150000,0.0737523646399211 - 0.0827787888931101i
137600000,0.124476272290428 - 0.0765724696162024i
139050000,0.173233095449555 - 0.0919261755030081i
140500000,0.209525393277732 - 0.126707462344418i
141950000,0.229754205850970 - 0.173007477838351i
143400000,0.225869567911875 - 0.228579329112830i
144850000,0.210488002280197 - 0.268389788954797i
146300000,0.170335974136378 - 0.317384074670999i
147750000,0.112978916067091 - 0.344049991877219i
149200000,0.0519273369014752 - 0.354012450996319i
150650000,-0.0216102402724876 - 0.337335006020554i
152100000,-0.0870952881108915 - 0.306391869294778i
153550000,-0.143296371620777 - 0.248823302365505i
155000000,-0.185279382838266 - 0.172932143793660i
156450000,-0.202310782055633 - 0.0875526237789414i
157900000,-0.189335681797754 + 0.0103259770783381i
159350000,-0.143367204940113 + 0.0960261781989735i
160800000,-0.0699745807920733 + 0.160923111610772i
162250000,0.0168173299491867 + 0.195473377146392i
163700000,0.102327632441051 + 0.191735024384958i
165150000,0.174131436855900 + 0.168167082495511i
166600000,0.219296337764682 + 0.128229470708206i
168050000,0.251382284399893 + 0.0833682110202087i
169500000,0.260523746972439 + 0.0386677528894246i
170950000,0.251963615692503 - 0.00338616172056710i
172400000,0.232807572766753 - 0.0239972077918159i
173850000,0.205366797232842 - 0.0276848425446318i
175300000,0.185402011844985 - 0.0161097474387363i
176750000,0.175936265742620 + 0.00566898923696793i
178200000,0.178766404279164 + 0.0245265695940085i
179650000,0.177372731448326 + 0.0565350530108751i
181100000,0.201269116778985 + 0.0862058598894601i
182550000,0.234986480280112 + 0.105198276655237i
184000000,0.263552647336710 + 0.115857442370575i
185450000,0.296587358036573 + 0.121607227598167i
186900000,0.325651093994032 + 0.134412698746420i
188350000,0.367345677586109 + 0.139768441541797i
189800000,0.424386782506331 + 0.141221242620056i
191250000,0.480433628890717 + 0.120029770492730i
192700000,0.536079028825007 + 0.0771574068892513i
194150000,0.568788746030486 + 0.0321059385877388i
195600000,0.592563848439789 - 0.0287901634688989i
197050000,0.595515767861533 - 0.0814539362125963i
198500000,0.582416522359554 - 0.138001685579736i
199950000,0.561769416952027 - 0.176777233815405i
201400000,0.531987125790272 - 0.200536432702935i
202850000,0.508665759457280 - 0.215618539272334i
204300000,0.480055613278425 - 0.216298893822386i
205750000,0.470102570917111 - 0.207617266961732i
207200000,0.468550297978940 - 0.194376628304123i
208650000,0.476517321085740 - 0.183591410784748i
210100000,0.498370841925739 - 0.177461922478913i
211550000,0.522056569396515 - 0.178824389042997i
213000000,0.552079336942236 - 0.197298918593931i
214450000,0.578670594730065 - 0.215620332217253i
215900000,0.604045895144280 - 0.246337077729824i
217350000,0.619580796504346 - 0.280808851169240i
218800000,0.627771273971477 - 0.324378257747349i
220250000,0.636718682682514 - 0.364241838535248i
221700000,0.626887924125523 - 0.400063266433488i
223150000,0.625371982392748 - 0.444933234801025i
224600000,0.605430011625651 - 0.480348298200030i
226050000,0.596774333063699 - 0.518459770367281i
227500000,0.600378940234119 - 0.539586184462985i
228950000,0.592880799519248 - 0.594035173710113i
230400000,0.564984236764436 - 0.664976445628287i
231850000,0.491063666365338 - 0.709201457425453i
233300000,0.430999563815883 - 0.725520306016766i
234750000,0.385706824472229 - 0.717873786866734i
236200000,0.341738389432578 - 0.721143417455903i
237650000,0.313485976641996 - 0.713591719079660i
239100000,0.277640563940638 - 0.710387577781163i
240550000,0.252556088834727 - 0.705657887740555i
242000000,0.219824409437628 - 0.692502973154793i
243450000,0.204046559215163 - 0.692895490136554i
244900000,0.184461559991352 - 0.681224105656400i
246350000,0.158630370343128 - 0.685421371662598i
247800000,0.148653743289838 - 0.674701826298812i
249250000,0.126888897979484 - 0.669966416496698i
250700000,0.109055869994910 - 0.667765180669336i
252150000,0.0858859035635075 - 0.658256898131281i
253600000,0.0719950237548967 - 0.660936719699632i
255050000,0.0530566427351003 - 0.651714099949021i
256500000,0.0300253314110707 - 0.651518161776783i
257950000,0.0193701635845890 - 0.645427517579391i
259400000,-0.00901653375681343 - 0.634321923372963i
260850000,-0.0259636718825282 - 0.628574924247710i
262300000,-0.0533067955140752 - 0.608575818913159i
263750000,-0.0752470353505403 - 0.594579522941092i
265200000,-0.0882349052116546 - 0.572423186599474i
266650000,-0.102599555349082 - 0.545405668807366i
268100000,-0.107067013627743 - 0.532912857296431i
269550000,-0.120270821669758 - 0.510150050614771i
271000000,-0.123449243733483 - 0.491097945121539i
272450000,-0.123529324688301 - 0.468489507028472i
273900000,-0.127063122103851 - 0.453566308741459i
275350000,-0.119371791356755 - 0.433643790026323i
276800000,-0.118648498152126 - 0.420208992901593i
278250000,-0.108440105750371 - 0.415033443171987i
279700000,-0.109495707501392 - 0.410030707749554i
281150000,-0.113943917905887 - 0.410741988136695i
